"","absolute","avgabs_intro","avgabs_total","avgsy_total","avgwrd_intro","avgwrd_total","balance","centrality","computer.assisted","concept","country","domain","dont_know","encourage","fixrefpoints","form_basic","future","gradation","instr_interv","instr_respon","interviewer","intr_request","intropresent","knowledge","labels","labels_gramm","labels_order","motivation","nabst_intro","nabst_total","ncategories","nnouns_total","nsub_quest","nsyll_total","numsub_intro","nwords_intro","nwords_total","opinionother","past","position","questiontype","range.correspondence","rel","repetition","scal_neutral","scale_basic","scale_corres","scale_trange","scale_urange","showc_boxes","showc_horiz","showc_letter","showc_over","showc_quest","showc_start","socdesir","stimulus","subjectiveop","symmetry","used_WH_word","usedshowcard","val","visual","from","nnouns_intro"
"1",0,0.975,1,2.55555555555556,0,9,0,3,0,"7","AT","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,3,5,3,1,23,0,0,9,1,0,53,0,3,1.66138757513032,1,1,0,3,1,1,0,0,1,1,1,0,1,1,0,1,0,1,2.36728680945031,1,"ESS",0.975
"2",1,0.025,1,2.5,0,10,0,3,0,"7","BE","112",2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,5,3,5,3,1,25,0,0,10,1,1,53,0,1,0.72414397723711,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3.77953386651243,0,"ESS",0.00500000000000001
"3",0,0.975,1,2.2,0,10,0,3,1,"7","CH","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,3,5,3,1,22,0,0,10,1,0,53,0,3,1.16806632172665,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,4.16117471497251,1,"ESS",0.975
"4",0,0.975,1,4.63636363636364,0,11,0,1,0,"7","CZ","112",2,0,3,0,0,0,0,0,1,0,0,0,3,0,2,0,1,6,5,6,1,51,0,0,11,1,0,53,0,3,2.30796448219219,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.82604203903711,1,"ESS",0.975
"5",0,0.975,1,2.44444444444444,0,9,0,3,1,"7","DE","112",2,0,1,0,0,0,0,0,1,0,0,0,3,0,2,0,1,3,5,3,1,22,0,0,9,1,0,53,0,3,0.571767486621799,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.77953386651243,1,"ESS",0.975
"6",0,0.975,0,5,0,10,0,2,1,"7","DK","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,0,5,3,0,50,0,0,10,1,0,53,0,3,1.50149599203271,1,1,0,3,1,1,0,0,1,1,0,0,1,1,0,1,0,1,4.56277605459526,1,"ESS",0.975
"7",0,0.975,1,4.14285714285714,0,14,0,3,0,"7","ES","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,4,5,5,5,1,58,0,0,14,1,0,53,0,3,1.25695124218896,1,1,0,0,1,1,0,0,0,1,0,0,2,1,0,1,0,1,3.77953386651243,1,"ESS",0.24375
"8",0,0.975,1,10.3333333333333,0,6,0,2,1,"7","FI","112",3,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,1,2,5,2,0,62,0,0,6,1,0,53,0,3,0.923239190051942,1,1,0,3,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1.94461367624351,1,"ESS",0.975
"9",0,0.975,1,1.91666666666667,0,12,0,3,1,"7","FR","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,2,4,5,4,1,23,0,0,12,1,0,53,0,2,0.942604467402409,1,1,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2.17429843939904,1,"ESS",0.4875
"10",0,0.975,1,1.81818181818182,0,11,0,4,1,"7","GB","112",2,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,1,4,5,4,0,20,0,0,11,1,0,53,0,3,0.706350591369354,1,1,0,3,1,1,0,0,0,1,0,0,2,1,0,1,0,1,3.77953386651243,1,"ESS",0.975
